id,path
88,28 44 45 42 66
185,23 104 89 90 91
250,12 75 76 128 125 77
160,92 96 97 84 15
147,86 83 84 14 9 10
286,38 30 41 44 45 76 78
122,79 75 44 45 76 78
283,12 75 76 134 135
30,43 44 45 26
68,12 8 9 49 31 21
282,12 75 76 134 137
271,38 30 80 81 31 45 131
35,28 44 45 42 47
164,28 99 100 101
201,50 110 44 45 42 47
99,70 44 45 26
276,132 133 134 91
205,38 30 41 44 30 31 5
46,7 8 9 49 47
156,38 96 97 3 4
103,28 44 30 31 5
127,29 30 80 81 31 37
213,113 30 41 42 31 36
281,74 75 76 134 137
77,29 30 48 49 31 36
43,29 30 48 49 31 37
59,58 54 55 52 47
117,43 44 45 76 78
118,28 44 45 76 78
128,38 30 80 81 31 37
36,28 44 45 42 31 21
150,82 13 83 84 90 73 47
63,12 8 9 55 56
62,12 8 9 55 60
167,28 99 2 3 5
175,107 104 105 27
266,130 44 45 26
177,38 30 80 81 31 61
115,74 75 76 77
148,50 30 48 8 13 83 84 90 93
132,82 83 84 85
268,28 44 45 42 31 37
89,28 44 45 42 31 36
135,86 83 84 14 81 31 36
222,38 30 80 81 31 45 111 117
81,64 30 48 8 13 14 15
107,12 8 9 49 31 37
238,38 30 122 30 31 5
48,12 8 9 49 31 36
124,79 75 44 30 31 5
163,98 99 100 101
25,17 30 31 39
196,28 108 110 111 5
269,1 30 31 45 131
272,50 30 41 44 30 80 13 14 15
40,22 30 41 44 30 31 5
126,33 80 81 31 32
19,1 30 31 5
66,33 48 49 31 21
125,33 80 81 31 36
129,38 30 80 81 31 45 46
229,12 118 30 31 5
237,29 30 122 30 31 5
199,28 108 110 44 45 26
236,1 30 31 123 31 36
284,29 30 41 44 45 26
100,70 44 45 71
7,12 8 13 14 15
22,29 30 34 35 31 37
224,74 118 119 10
10,7 8 9 19 21
230,121 118 30 31 5
26,17 30 31 20
267,130 44 45 42 47
106,33 48 49 31 5
247,129 124 127 128 115
31,43 44 45 46
288,1 30 31 45 42 31 36
176,33 48 49 31 61
169,70 44 45 46
298,1 30 31 45 42 31 37
138,88 89 90 73 47
251,129 124 127 75 44 30 31 5
119,28 44 45 76 10
75,1 30 31 63
71,1 30 31 61
212,38 30 41 42 31 112
67,33 48 49 31 39
297,50 30 41 44 45 71
41,33 48 49 31 36
82,65 41 42 31 36
171,33 102 103 31 45 71
105,33 48 49 31 37
45,38 30 48 49 31 45 46
240,38 30 122 30 80 13 14 15
42,33 48 49 31 32
83,65 41 42 31 32
257,129 124 110 111 115
13,17 18 8 13 14 15
223,50 30 80 13 83 84 14 81 47
262,28 108 109 26
33,28 44 45 26
294,33 41 42 31 61
140,62 30 72 89 90 91
208,17 30 31 112
102,1 30 31 45 71
90,62 30 41 44 30 31 5
206,38 30 80 81 31 45 111 37
174,50 30 102 104 105 27
29,33 41 42 31 39
149,82 13 83 84 90 93
285,38 30 41 44 45 26
172,79 75 44 30 102 104 105 106
37,1 30 31 45 46
23,38 30 34 35 31 37
233,33 122 123 31 36
198,33 41 42 31 32
234,33 122 123 31 32
264,33 41 42 31 37
197,33 41 42 31 36
32,28 44 45 46
8,16 8 13 14 15
65,22 30 51 54 8 13 14 15
296,50 30 41 44 45 26
144,92 89 90 84 85
24,38 30 34 35 31 5
184,107 104 89 90 91
55,58 54 55 57
56,58 54 55 56
98,7 8 13 14 15
253,116 127 75 44 30 80 13 14 15
295,62 30 41 44 45 26
80,38 30 48 49 31 63
73,38 30 48 49 31 61
231,33 48 49 31 119 78
180,82 13 83 84 14 81 47
146,86 83 84 14 9 69
292,33 41 42 31 112
72,62 30 31 5
261,28 108 109 77
275,132 133 134 135
101,28 44 45 71
290,38 30 102 133 75 44 30 31 5
