id,token
58,________
41,def
2,nonflakylist
52,type
89,addproducer
38,strcompile
86,lambda
83,len
49,definecolumn
18,https
33,join
80,10
17,projecturl
91,transformers
1,(
3,)
12,index
23,+
14,.
6,0
97,str
90,1
64,as
88,sorted
20,re
25,filename
84,3
57,:
5,=
45,schema
16,sub
19,httpsraw
48,typeerror
71,columns
65,writeobj
27,requests
11,listcodesource
26,get
8,[
9,]
87,key
35,_
54,a
81,b
82,c
68,writerow
42,findall
77,showheader
21,url
72,producers
93,verbose
15,iterrows
28,r
22,testfilename
85,x
44,self
74,{
75,}
76,config
36,newtemp
47,assertraises
63,open
69,___
30,decode
61,newline
92,compile
31,utf
4,count
7,EMPTY_TOKEN
34,_+
62,encoding
55,____________
73,name
50,producer
60,listofelem
67,csvwriter
94,rschemascolumnssproducersmyproducerstypesintsconfigsstransformersnamesabstransformersfeanorschemaprojectiontransformersobjectsatswsinputsssoutputsssshowheadertrues
10,listurl
29,content
95,strregex
43,flakylist
70,assertequal
40,end
13,row
46,__
79,assertfalse
32,temp
37,testfuncname
39,start
78,false
96,assertregex
53,int
24,master
56,with
51,myproducer
59,METHOD_NAME
66,writer
